cluster,star_rating_SY1819
1.0,3.6666666666666665
2.0,3.1666666666666665
3.0,2.0
4.0,4.5
5.0,4.0
6.0,4.0
7.0,4.0
8.0,3.0
9.0,3.0
10.0,5.0
11.0,4.666666666666667
12.0,5.0
13.0,4.5
14.0,4.0
15.0,4.0
16.0,4.0
17.0,2.6666666666666665
18.0,3.3333333333333335
19.0,4.0
20.0,2.5
21.0,2.5
22.0,3.3333333333333335
23.0,2.3333333333333335
25.0,3.5555555555555554
26.0,3.8
27.0,4.0
28.0,3.0
30.0,1.5
31.0,1.8571428571428572
32.0,2.0
33.0,3.0
34.0,2.0
36.0,2.0
37.0,2.0
38.0,2.3333333333333335
39.0,1.7142857142857142
